Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
"Can use a better display image for ""Artificial Flowers"" in the HomePage under ""New Year Specials"" (meghna)",ZP2-19,10088,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:28 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"Can use a different image containing artificial flowers for ""Artificial Flowers"" in the HomePage under ""New Year Specials for a better user experience. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Artificial_.png;https://meghnasuresh.atlassian.net/secure/attachment/10027/0_Artificial_.png,,,,,,,,,,,,,,,,,,0|i000i7:,,,,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427808],,,To Do
Popular picks arrow mark(Nisha),ZP2-18,10087,Bug,In Progress,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"The arrow mark  icon is not clickable , clicking on it for 3 to 4 time then  it redirects to popular picks page.",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-163822[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10026/0_Screenshot_20221125-163822%5B1%5D.jpg,,,,,,,,,,,,,,,,,,0|i000hz:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427760],,,In Progress
"Is the 'Down Arrow' Button next to ""Others"" in the Customer Care Support web page supposed to only point at the below option and not retract when click again? (Meghna)",ZP2-17,10086,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"Is the 'Down Arrow' Button next to ""Others"" in the Customer Care Support web page supposed to only point at the below option and not retract when clicked again?",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Arrow.png;https://meghnasuresh.atlassian.net/secure/attachment/10025/0_Arrow.png,,,,,,,,,,,,,,,,,,0|i000hr:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427758],,,To Do
"Empty space in the ""Grocery"" Home Page (Meghna)",ZP2-16,10085,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"There is a lot of empty space that can be utilized to fill in more products on the ""Grocery"" Home Page. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Empty_space.png;https://meghnasuresh.atlassian.net/secure/attachment/10024/0_Empty_space.png,,,,,,,,,,,,,,,,,,0|i000hj:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427735],,,To Do
"Not appropriate image and title in the ""Top Offers"" webpage (Meghna)",ZP2-15,10084,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"“Don't miss the extra discount” and the “jewelry” image is not appropriate category for the webpage “TOP OFFERS” as it doesn't match the other categories. 
and also the title “Paisa Wasool Deal” is not an appropriate category for the “Top Offers” page",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Not_appropriate_image_and_title.png;https://meghnasuresh.atlassian.net/secure/attachment/10022/0_Not_appropriate_image_and_title.png,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;Not_appropriate_image_and_title_2.png;https://meghnasuresh.atlassian.net/secure/attachment/10023/Not_appropriate_image_and_title_2.png,,,,,,,,,,,,,,,,,0|i000hb:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427713],,,To Do
Login issues (Nisha),ZP2-14,10083,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,Not able to login through valid mail id . it is only possible through phone number,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-161202[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10020/0_Screenshot_20221125-161202%5B1%5D.jpg,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;1_Screenshot_20221125-161209[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10021/1_Screenshot_20221125-161209%5B1%5D.jpg,,,,,,,,,,,,,,,,,0|i000h3:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427701],,,To Do
"The text ""Clearance Offers"" in the 'Home> Appliances' webpage is Too bright to see. (Meghna)",ZP2-13,10082,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"The text ""Clearance Offers"" in the 'Home> Appliances' webpage is Too bright to see. and it is not matching the other Header texts of the same page like “new Launches”, “Top-rated Collections” etc. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_too_bright.png;https://meghnasuresh.atlassian.net/secure/attachment/10019/0_too_bright.png,,,,,,,,,,,,,,,,,,0|i000gv:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427688],,,To Do
"Adding other Social media accounts to the footer under ""Socials"" can help in building backlinks (Meghna)",ZP2-12,10081,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"Adding Instagram and other popular social media accounts to the footer under ""Socials"" can help in building backlinks which helps in SEO and in turn ranking of the website on SERP.  ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Add_instagram.png;https://meghnasuresh.atlassian.net/secure/attachment/10018/0_Add_instagram.png,,,,,,,,,,,,,,,,,,0|i000gn:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427672],,,To Do
Not appropriate image for 'Home Furnishing Range' (Meghna),ZP2-11,10080,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"The display image for the “Home Furnishing range” in the 'Top offers"" webpage can be replaced as it is not appropriate to the title. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Not_appropriate_image.png;https://meghnasuresh.atlassian.net/secure/attachment/10017/0_Not_appropriate_image.png,,,,,,,,,,,,,,,,,,0|i000gf:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427638],,,To Do
"Clicking on ""Help with your issues"" is not redirecting to any part of the page or other web pages. (Meghna)",ZP2-10,10079,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"Clicking on ""Help with your issues"" is not redirecting to any part of the page or other web pages, no matter how many times I refreshed. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Help_with_your_issues.png;https://meghnasuresh.atlassian.net/secure/attachment/10016/0_Help_with_your_issues.png,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427627],,,To Do
"Product Cancellation on 'Cash on Delivery' still asking for ""Refund Modes"" (Meghna)",ZP2-9,10078,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:27 PM,06/Jan/23 9:53 AM,,,0,"The product that was ordered on COD, when canceled it compulsorily asks for “Refund Modes”. and upon selecting “Original Payment Mode” and “Continue cancellation” it redirects to 'Something went wrong. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Refund.png;https://meghnasuresh.atlassian.net/secure/attachment/10014/0_Refund.png,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;1_Something_went_worng.png;https://meghnasuresh.atlassian.net/secure/attachment/10015/1_Something_went_worng.png,,,,,,,,,,,,,,,,,0|i000fz:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427619],,,To Do
Login page issue ( Nisha),ZP2-8,10077,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,its accepting 11 digits number in phone number flied and redirecting to OTP Page,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-142728[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10013/0_Screenshot_20221125-142728%5B1%5D.jpg,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427613],,,To Do
Filtering 4 stars customer ratings and above is still reflecting lesser customer-rated products (Meghna),ZP2-7,10076,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,Searching for ‘iPhone 13 Pro covers under 500’ and ‘above 4 stars customer rating’ is reflecting the results for lesser customer ratings & more than 500rs products. ,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Filter_option_2.png;https://meghnasuresh.atlassian.net/secure/attachment/10011/0_Filter_option_2.png,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;1_Filter_option.png;https://meghnasuresh.atlassian.net/secure/attachment/10012/1_Filter_option.png,,,,,,,,,,,,,,,,,0|i000fj:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427603],,,To Do
Logout issue(Nisha),ZP2-6,10075,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,Logout function not working . not able to click on logout from this device button.,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-145226[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10010/0_Screenshot_20221125-145226%5B1%5D.jpg,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427602],,,To Do
"Received OTP to the current registered phone number while changing the phone number in ""Personal Information"" (Meghna)",ZP2-5,10074,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,Received OTP to my existing logged-in phone number to update a new phone number. This can lead to updating the wrong phone number. ,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_OTP_to_change_ph_num.png;https://meghnasuresh.atlassian.net/secure/attachment/10008/0_OTP_to_change_ph_num.png,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;1_WhatsApp_Image_2022-11-25_at_2.49.58_PM.jpeg;https://meghnasuresh.atlassian.net/secure/attachment/10009/1_WhatsApp_Image_2022-11-25_at_2.49.58_PM.jpeg,,,,,,,,,,,,,,,,,0|i000f3:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427583],,,To Do
Received 'Enter OTP' dialog box even after entering a wrong email address (Meghna),ZP2-4,10073,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,"Received an OTP to my mobile number to confirm a wrong email ID that I tried to add to my profile in ""Profile Information"" ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_otp_to_mail_id.png;https://meghnasuresh.atlassian.net/secure/attachment/10006/0_otp_to_mail_id.png,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;1_WhatsApp_Image_2022-11-25_at_2.45.06_PM.jpeg;https://meghnasuresh.atlassian.net/secure/attachment/10007/1_WhatsApp_Image_2022-11-25_at_2.45.06_PM.jpeg,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427576],,,To Do
Edit Profile ( Nisha),ZP2-3,10072,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,"Without entering valid OTP number , the phone number got updated.",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-152812[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10004/0_Screenshot_20221125-152812%5B1%5D.jpg,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;1_Screenshot_20221125-152712[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10005/1_Screenshot_20221125-152712%5B1%5D.jpg,,,,,,,,,,,,,,,,,0|i000en:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427653],,,To Do
"Search result for ""Air Tickets"" shows no results, not even related results (Meghna)",ZP2-2,10071,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,"The search result for ""Air Tickets"" is a blank page. No related information is shown. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Air_tickets.png;https://meghnasuresh.atlassian.net/secure/attachment/10003/0_Air_tickets.png,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427661],,,To Do
Login possible only through phone number. (Meghna),ZP2-1,10070,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:26 PM,28/Nov/22 12:26 PM,27/Feb/23 1:43 PM,,,0,Login is possible only with phone numbers and no other options are available.,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;0_Login_only_through_phone_number.png;https://meghnasuresh.atlassian.net/secure/attachment/10002/0_Login_only_through_phone_number.png,,,,,,,,,,,,,,,,,,0|i000e7:,,,,,,,,,,,,28/Nov/22 12:26 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427659],,,To Do
Login Textbox Username issue,NEW-3,10069,Bug,To Do,NEW,New Project Nove,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,16/Nov/22 11:07 AM,16/Nov/22 11:07 AM,27/Feb/23 1:43 PM,,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,,,,,,,,,,,To Do
Login Button Issue,NEW-2,10068,Bug,To Do,NEW,New Project Nove,software,Meghna S,634e3af41db4d2ebcf611827,,Highest,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,16/Nov/22 10:36 AM,16/Nov/22 10:46 AM,27/Feb/23 1:43 PM,,,0,Login button not clickable ,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,16/Nov/22 10:44 AM;634e3af41db4d2ebcf611827;Bug ss.png;https://meghnasuresh.atlassian.net/secure/attachment/10001/Bug+ss.png,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,,,,,,,,,,,To Do
Leave,NPN-6,10066,Test,To Do,NPN,New Project Nov,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,02/Nov/22 4:25 PM,01/Feb/23 11:16 AM,06/Jan/23 9:55 AM,,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d7:,,NPN Sprint 3,,,,,,,,,,,,,To Do
Orange HRM,NPN-4,10064,Epic,To Do,NPN,New Project Nov,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,02/Nov/22 3:50 PM,02/Nov/22 3:50 PM,27/Feb/23 1:43 PM,,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,,,,To Do
PIM Page,NPN-3,10063,Test,To Do,NPN,New Project Nov,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,02/Nov/22 3:49 PM,01/Feb/23 11:16 AM,01/Feb/23 11:18 AM,,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,NPN Sprint 3,,,,,,,,,,,10064,Orange HRM,To Do
Admin,NPN-2,10062,Test,Done,NPN,New Project Nov,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,Done,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,02/Nov/22 3:49 PM,02/Nov/22 3:56 PM,27/Feb/23 1:43 PM,02/Nov/22 3:56 PM,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,NPN Sprint 2,,,,,,,,,,,10064,Orange HRM,Done
Login Issue,NPN-1,10057,Test,Done,NPN,New Project Nov,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,Done,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,02/Nov/22 11:08 AM,02/Nov/22 3:51 PM,27/Feb/23 1:43 PM,02/Nov/22 3:51 PM,,0,,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,NPN Sprint 1,,,,,,,,,,,10064,Orange HRM,Done
